CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,Mr.,Neha,Huang,10/11/1992,S,F,neha11000@adventure-works.com,61094,5,High School,Skilled Manual,N
11001,Mrs.,Eugene,Mehta,2/19/1984,M,M,eugene11001@adventure-works.com,104918,0,Masters,Sales,Y
11002,Dr.,John,Verhoff,11/19/1972,S,F,john11002@adventure-works.com,94641,3,PhD,Clerical,N
11003,Mrs.,Elizabeth,Garcia,4/13/1974,M,F,elizabeth11003@adventure-works.com,110400,3,High School,Sales,N
11004,Dr.,Michael,Patel,2/7/1987,S,F,michael11004@adventure-works.com,34358,4,PhD,Professional,N
11005,Mrs.,John,Verhoff,5/9/1974,S,M,john11005@adventure-works.com,117917,3,Masters,Management,Y
11006,Ms.,Neha,Torres,7/29/1960,M,M,neha11006@adventure-works.com,31982,0,Masters,Clerical,Y
11007,Ms.,John,Zhu,8/4/1989,M,F,john11007@adventure-works.com,101072,4,PhD,Consultant,Y
11008,Mrs.,Noah,Carlson,7/4/1966,M,M,noah11008@adventure-works.com,95936,4,Masters,Professional,Y
11009,Mrs.,Sophia,Miller,6/9/1981,M,F,sophia11009@adventure-works.com,82156,1,Bachelors,Clerical,Y
11010,Ms.,Christy,Singh,4/7/1993,S,F,christy11010@adventure-works.com,83023,3,Masters,Professional,Y
11011,Mr.,Michael,Wilson,12/11/1962,M,M,michael11011@adventure-works.com,107375,4,Masters,Consultant,Y
11012,Ms.,Ruben,Taylor,9/19/1975,M,M,ruben11012@adventure-works.com,52086,3,PhD,Skilled Manual,Y
11013,Dr.,Michael,Verhoff,7/31/1962,S,F,michael11013@adventure-works.com,90220,0,High School,Clerical,N
11014,Mrs.,Liam,Ruiz,9/19/1960,M,F,liam11014@adventure-works.com,96313,5,Bachelors,Professional,N
11015,Ms.,Christy,Mehta,2/6/1972,S,F,christy11015@adventure-works.com,114424,3,High School,Professional,N
11016,Ms.,Sophia,Torres,3/16/1970,M,M,sophia11016@adventure-works.com,117906,2,High School,Sales,Y
11017,Mrs.,Christy,Verhoff,3/19/1965,M,F,christy11017@adventure-works.com,69958,1,PhD,Professional,N
11018,Mr.,Christy,Patel,3/28/1985,S,F,christy11018@adventure-works.com,100186,1,PhD,Professional,N
11019,Dr.,Ruben,Torres,7/6/1962,M,M,ruben11019@adventure-works.com,57596,4,Bachelors,Sales,Y
11020,Mrs.,John,Davis,4/16/1967,M,F,john11020@adventure-works.com,50000,0,High School,Skilled Manual,N
11021,Ms.,Olivia,Smith,9/26/1971,S,F,olivia11021@adventure-works.com,112807,2,Masters,Management,Y
11022,Mr.,Eugene,Torres,11/7/1987,M,M,eugene11022@adventure-works.com,81422,3,Bachelors,Sales,N
11023,Mrs.,Sarah,Davis,6/29/1960,S,M,sarah11023@adventure-works.com,65509,1,High School,Sales,Y
11024,Mr.,Ruben,Johnson,5/31/1976,S,M,ruben11024@adventure-works.com,62108,4,PhD,Management,Y
11025,Dr.,John,Yang,8/13/1990,S,F,john11025@adventure-works.com,97933,2,PhD,Clerical,N
11026,Mr.,David,Torres,7/16/1966,S,F,david11026@adventure-works.com,36565,5,Bachelors,Consultant,Y
11027,Mrs.,Priya,Johnson,1/20/1973,S,M,priya11027@adventure-works.com,62620,4,High School,Consultant,N
11028,Mrs.,Sarah,Ruiz,4/29/1963,S,F,sarah11028@adventure-works.com,40259,0,PhD,Professional,N
11029,Mrs.,Olivia,Zhu,4/9/1973,M,M,olivia11029@adventure-works.com,114727,0,PhD,Clerical,N
11030,Dr.,Neha,Patel,7/4/1973,M,M,neha11030@adventure-works.com,34800,2,PhD,Professional,N
11031,Dr.,Marco,Patel,5/7/1964,M,F,marco11031@adventure-works.com,118117,5,PhD,Clerical,N
11032,Ms.,Julio,Wilson,7/24/1985,M,F,julio11032@adventure-works.com,80907,0,Masters,Skilled Manual,N
11033,Dr.,Sarah,Ruiz,11/27/1989,M,M,sarah11033@adventure-works.com,69242,1,High School,Management,Y
11034,Mrs.,Robin,Smith,12/27/2000,M,F,robin11034@adventure-works.com,38004,0,PhD,Skilled Manual,N
11035,Dr.,Marco,Brown,4/21/1967,M,F,marco11035@adventure-works.com,86874,5,Bachelors,Professional,N
11036,Ms.,Michael,Patel,3/10/1985,M,M,michael11036@adventure-works.com,110105,3,Bachelors,Sales,N
11037,Mrs.,Neha,Mehta,1/17/1987,M,M,neha11037@adventure-works.com,56221,4,PhD,Management,Y
11038,Mr.,Amit,Johnson,6/20/1980,S,M,amit11038@adventure-works.com,113505,5,PhD,Management,Y
11039,Ms.,Christy,Zhu,11/5/1978,M,F,christy11039@adventure-works.com,88047,3,Bachelors,Skilled Manual,Y
11040,Mrs.,Noah,Smith,1/9/1961,S,F,noah11040@adventure-works.com,46043,5,Bachelors,Consultant,N
11041,Dr.,Ruben,Verhoff,4/5/1986,S,M,ruben11041@adventure-works.com,34811,4,PhD,Consultant,Y
11042,Mr.,Neha,Johnson,5/29/1997,M,F,neha11042@adventure-works.com,47375,3,PhD,Clerical,Y
11043,Mrs.,Sophia,Singh,2/18/1988,S,M,sophia11043@adventure-works.com,42845,2,PhD,Professional,Y
11044,Mr.,Amit,Smith,5/5/1992,S,F,amit11044@adventure-works.com,104050,3,PhD,Skilled Manual,Y
11045,Dr.,Marco,Ruiz,11/1/1983,S,F,marco11045@adventure-works.com,34026,2,High School,Professional,Y
11046,Mr.,Daniel,Sharma,10/20/1974,M,F,daniel11046@adventure-works.com,32286,0,Bachelors,Consultant,N
11047,Ms.,Christy,Miller,11/7/1969,M,M,christy11047@adventure-works.com,98636,1,High School,Sales,N
11048,Mrs.,Amit,Taylor,10/17/1971,S,M,amit11048@adventure-works.com,39205,3,PhD,Skilled Manual,N
11049,Mrs.,Priya,Garcia,4/30/1994,M,M,priya11049@adventure-works.com,80730,4,PhD,Sales,N
11050,Mr.,Marco,Garcia,4/17/1975,M,M,marco11050@adventure-works.com,99151,2,PhD,Professional,Y
11051,Mr.,Noah,Smith,1/28/1985,S,F,noah11051@adventure-works.com,101571,2,High School,Sales,Y
11052,Mr.,Ruben,Miller,3/2/1976,S,M,ruben11052@adventure-works.com,85218,3,Bachelors,Clerical,N
11053,Mrs.,Priya,Zhu,11/6/1969,S,M,priya11053@adventure-works.com,71012,2,High School,Clerical,N
11054,Mrs.,Marco,Taylor,10/1/1988,M,F,marco11054@adventure-works.com,65902,3,PhD,Sales,Y
11055,Mr.,Eugene,Johnson,10/18/1960,S,M,eugene11055@adventure-works.com,46336,0,PhD,Management,Y
11056,Dr.,Ruben,Ruiz,5/1/1988,S,F,ruben11056@adventure-works.com,106724,1,PhD,Skilled Manual,Y
11057,Ms.,David,Khan,10/12/1965,S,F,david11057@adventure-works.com,112911,4,High School,Management,N
11058,Mrs.,Priya,Taylor,10/18/1998,M,F,priya11058@adventure-works.com,60503,3,Bachelors,Clerical,N
11059,Mrs.,Ruben,Mehta,2/12/1989,S,M,ruben11059@adventure-works.com,47988,0,Masters,Clerical,N
11060,Mrs.,Eugene,Huang,3/11/1960,M,M,eugene11060@adventure-works.com,33744,3,PhD,Professional,N
11061,Dr.,Daniel,Wilson,2/8/1995,M,F,daniel11061@adventure-works.com,56139,3,PhD,Skilled Manual,Y
11062,Dr.,Amit,Wilson,9/22/1977,M,F,amit11062@adventure-works.com,34965,5,PhD,Professional,Y
11063,Mrs.,Neha,Taylor,7/27/1975,M,M,neha11063@adventure-works.com,104083,0,High School,Professional,Y
11064,Dr.,Neha,Miller,1/3/1993,S,M,neha11064@adventure-works.com,91448,3,Bachelors,Skilled Manual,N
11065,Mrs.,Shannon,Yang,4/27/1960,M,F,shannon11065@adventure-works.com,118861,4,PhD,Management,N
11066,Mrs.,Shannon,Miller,9/27/1996,M,M,shannon11066@adventure-works.com,50677,2,Masters,Sales,N
11067,Ms.,Olivia,Mehta,5/29/1968,S,M,olivia11067@adventure-works.com,30169,5,Masters,Sales,N
11068,Dr.,Marco,Mehta,2/19/1967,S,M,marco11068@adventure-works.com,98511,4,High School,Clerical,N
11069,Mr.,Christy,Johnson,6/19/1985,S,F,christy11069@adventure-works.com,51915,3,Bachelors,Professional,N
11070,Ms.,Eugene,Huang,12/16/1998,M,M,eugene11070@adventure-works.com,48339,3,Masters,Sales,Y
11071,Ms.,Michael,Carlson,6/16/1999,M,M,michael11071@adventure-works.com,83063,3,Masters,Clerical,N
11072,Ms.,John,Smith,10/13/1977,M,F,john11072@adventure-works.com,66729,4,Bachelors,Professional,Y
11073,Mrs.,Noah,Smith,3/31/1980,S,F,noah11073@adventure-works.com,95174,4,High School,Consultant,Y
11074,Dr.,David,Garcia,11/23/1991,S,M,david11074@adventure-works.com,61976,5,Masters,Management,Y
11075,Mr.,Michael,Taylor,3/9/1967,S,M,michael11075@adventure-works.com,115341,5,Bachelors,Skilled Manual,Y
11076,Dr.,Noah,Torres,12/31/1970,S,M,noah11076@adventure-works.com,110918,1,Masters,Sales,Y
11077,Ms.,Daniel,Smith,9/18/1961,S,F,daniel11077@adventure-works.com,58951,4,Masters,Consultant,Y
11078,Mrs.,Marco,Taylor,1/17/1997,S,M,marco11078@adventure-works.com,61021,0,Bachelors,Consultant,Y
11079,Mr.,Olivia,Smith,1/25/2001,S,M,olivia11079@adventure-works.com,102266,1,Bachelors,Sales,Y
11080,Dr.,David,Miller,2/16/1970,S,F,david11080@adventure-works.com,74623,2,High School,Management,Y
11081,Mrs.,Sophia,Singh,2/3/1966,M,M,sophia11081@adventure-works.com,111126,2,PhD,Sales,Y
11082,Ms.,Michael,Smith,6/22/1974,S,F,michael11082@adventure-works.com,88778,0,PhD,Sales,Y
11083,Ms.,Michael,Huang,6/28/1964,M,M,michael11083@adventure-works.com,76873,3,PhD,Sales,Y
11084,Mrs.,Sarah,Johnson,7/7/1971,S,F,sarah11084@adventure-works.com,104880,3,Masters,Consultant,Y
11085,Mrs.,Eugene,Davis,9/3/1981,M,F,eugene11085@adventure-works.com,46914,5,Masters,Clerical,N
11086,Mr.,Liam,Patel,11/30/1990,M,M,liam11086@adventure-works.com,83704,0,PhD,Skilled Manual,Y
11087,Mr.,Daniel,Zhu,12/26/1962,M,F,daniel11087@adventure-works.com,39983,2,PhD,Management,N
11088,Mr.,Priya,Patel,6/17/1986,S,M,priya11088@adventure-works.com,31324,4,PhD,Professional,Y
11089,Mrs.,Shannon,Carlson,8/18/1963,S,M,shannon11089@adventure-works.com,101646,3,Masters,Clerical,Y
11090,Ms.,Amit,Singh,7/20/1983,S,M,amit11090@adventure-works.com,53730,5,PhD,Professional,Y
11091,Dr.,Liam,Khan,1/25/2001,S,F,liam11091@adventure-works.com,75812,1,High School,Skilled Manual,N
11092,Ms.,Marco,Carlson,1/10/1964,M,M,marco11092@adventure-works.com,86867,3,Bachelors,Management,Y
11093,Mr.,Michael,Davis,7/24/1961,M,F,michael11093@adventure-works.com,90445,2,Bachelors,Sales,Y
11094,Dr.,Robin,Zhu,1/3/2001,M,F,robin11094@adventure-works.com,53735,2,PhD,Clerical,Y
11095,Ms.,Daniel,Singh,11/23/1963,M,F,daniel11095@adventure-works.com,57695,0,Bachelors,Consultant,N
11096,Ms.,Amit,Wilson,9/30/1962,S,F,amit11096@adventure-works.com,41604,0,PhD,Management,N
11097,Dr.,Julio,Patel,1/29/1982,S,F,julio11097@adventure-works.com,46958,4,Masters,Professional,N
11098,Dr.,Daniel,Verhoff,6/19/2000,S,F,daniel11098@adventure-works.com,112216,3,Bachelors,Clerical,N
11099,Mr.,Sophia,Brown,12/9/1990,M,F,sophia11099@adventure-works.com,82029,0,Bachelors,Skilled Manual,N
11100,Mr.,Julio,Davis,5/19/1989,S,F,julio11100@adventure-works.com,31439,4,Masters,Sales,Y
11101,Mrs.,John,Davis,3/12/2000,M,F,john11101@adventure-works.com,114006,2,Bachelors,Sales,N
11102,Ms.,Amit,Torres,6/3/1970,S,F,amit11102@adventure-works.com,87562,0,Bachelors,Clerical,Y
11103,Dr.,Liam,Garcia,4/15/1992,S,F,liam11103@adventure-works.com,44336,2,PhD,Sales,Y
11104,Dr.,Priya,Yang,3/30/1991,M,F,priya11104@adventure-works.com,35384,5,Bachelors,Clerical,Y
11105,Ms.,Daniel,Yang,1/28/1965,M,M,daniel11105@adventure-works.com,118948,0,High School,Consultant,Y
11106,Dr.,Olivia,Carlson,10/2/1985,M,F,olivia11106@adventure-works.com,92429,2,High School,Professional,N
11107,Dr.,Liam,Wilson,8/16/1982,S,M,liam11107@adventure-works.com,119726,3,PhD,Professional,Y
11108,Mr.,Julio,Wilson,8/18/1987,S,M,julio11108@adventure-works.com,71035,2,PhD,Clerical,Y
11109,Mr.,Julio,Johnson,4/15/1963,S,F,julio11109@adventure-works.com,70790,4,Bachelors,Clerical,N
11110,Ms.,Olivia,Torres,12/9/1987,M,M,olivia11110@adventure-works.com,43168,4,Masters,Skilled Manual,Y
11111,Mr.,Julio,Mehta,4/24/1961,M,F,julio11111@adventure-works.com,75927,4,Masters,Management,Y
11112,Ms.,Elizabeth,Huang,10/1/1984,S,F,elizabeth11112@adventure-works.com,118826,4,High School,Professional,Y
11113,Mr.,Shannon,Yang,5/5/1962,M,M,shannon11113@adventure-works.com,100580,4,Masters,Consultant,Y
11114,Mr.,Neha,Torres,8/10/1970,S,F,neha11114@adventure-works.com,92357,4,Bachelors,Sales,N
11115,Ms.,Robin,Carlson,12/15/1988,M,F,robin11115@adventure-works.com,92256,3,High School,Skilled Manual,N
11116,Dr.,Sophia,Huang,11/14/1974,S,M,sophia11116@adventure-works.com,113747,0,Bachelors,Clerical,Y
11117,Ms.,Amit,Verhoff,5/28/1964,S,M,amit11117@adventure-works.com,32273,1,High School,Professional,Y
11118,Mrs.,Noah,Ruiz,3/17/1987,S,M,noah11118@adventure-works.com,101980,1,High School,Professional,Y
11119,Ms.,Sarah,Zhu,1/12/1976,M,M,sarah11119@adventure-works.com,111393,0,Masters,Sales,Y
11120,Ms.,Olivia,Patel,3/1/1979,M,M,olivia11120@adventure-works.com,39566,5,Bachelors,Skilled Manual,N
11121,Ms.,Priya,Ruiz,7/26/1979,S,F,priya11121@adventure-works.com,99804,1,High School,Management,N
11122,Mrs.,Michael,Sharma,3/31/1994,M,F,michael11122@adventure-works.com,117311,4,High School,Professional,N
11123,Ms.,Liam,Johnson,4/11/1972,M,F,liam11123@adventure-works.com,102708,3,High School,Professional,Y
11124,Mrs.,Sarah,Zhu,12/2/1996,S,F,sarah11124@adventure-works.com,61063,1,High School,Sales,N
11125,Dr.,Amit,Huang,7/8/1970,M,F,amit11125@adventure-works.com,98821,3,Masters,Professional,N
11126,Mr.,John,Sharma,6/12/1970,S,F,john11126@adventure-works.com,66730,5,PhD,Skilled Manual,Y
11127,Ms.,Marco,Yang,6/15/1997,S,F,marco11127@adventure-works.com,112897,1,PhD,Sales,N
11128,Ms.,Olivia,Carlson,10/13/1960,M,M,olivia11128@adventure-works.com,78513,3,Masters,Consultant,Y
11129,Mr.,Amit,Patel,7/24/1990,S,M,amit11129@adventure-works.com,52151,0,PhD,Professional,N
11130,Mr.,Ruben,Mehta,10/11/1961,M,F,ruben11130@adventure-works.com,39839,0,High School,Sales,N
11131,Dr.,Daniel,Wilson,7/19/1967,M,M,daniel11131@adventure-works.com,116530,2,PhD,Management,Y
11132,Ms.,Christy,Taylor,10/17/1984,M,F,christy11132@adventure-works.com,78030,3,PhD,Skilled Manual,N
11133,Mr.,Olivia,Mehta,12/21/1961,S,F,olivia11133@adventure-works.com,78092,3,High School,Sales,N
